paragraph_index	block_index	style	text
80	100	List Bullet	照妖镜20米/3秒、照妖珠20米常驻、核心BOSS真视眼10米可揭露；墙体仍阻挡揭露与锁定。
81	101	List Bullet	核心BOSS真视眼共享给10米内所有玩家；BOSS死亡后在死亡点保留10秒。
82	102	List Bullet	灭世雷暴不会强制显形，也不会禁用伏石、隐身、治疗或护盾。
83	103	Heading 1	6 主动技能（57项）
84	104	List Bullet	每名英雄出生自带1个专属主动；地图另有19个通用主动。任意时刻仅持有1个主动。
85	105	List Bullet	通用主动落地后公开争夺；替换需确认，新主动从完整CD开始；太白换英雄得到新专属时READY；前两次真死复活后当前主动READY。
86	106	List Bullet	所有57个主动的level_scaling=NONE；运行时只读取工程参数，绝不解析展示文案。
87	107	List Bullet	施法非法时沿同方向缩短至最近合法点；仍非法则不施放、不进入CD。动态墙体及所有通行合法性只由真实碰撞几何和持续时间决定。
88	109	Normal	
89	110	Heading 1	7 被动技能（44项）
90	111	List Bullet	每名玩家最多4个被动槽；技能书空槽直接学习1级，同名未满5级则消耗书升1级。
91	112	List Bullet	同名5级书不可拾取；四槽满时拾取不同名书必须明确选择被替换槽，取消则书留在地面公开。
92	113	List Bullet	技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。
93	114	List Bullet	真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。
94	116	Normal	
95	117	Heading 1	8 装备、手牌、技能书与宝石
96	119	Normal	
97	121	Normal	
98	122	Heading 1	9 百眼迷城地图总则与精确几何
99	124	Normal	
100	125	Heading 2	9.1 六区职责
101	127	Heading 2	9.1a 六区可计算边界
102	129	List Bullet	共享边界路径为唯一权威几何；六区多边形仅由外边界段与下表路径拼接生成。构建器必须验证：每条路径顶点在两侧多边形中按序完整出现、六区并集覆盖全图无缝隙、任意两区交集面积为0。
103	131	Heading 2	9.1b 三维地表与物体行为矩阵
104	133	Normal	
105	134	Heading 2	9.2 地图总图与分层图
106	135	Normal	
107	136	Normal	百眼迷城840米灰盒总图：道路、墙体、区块、资源和三庭的统一空间关系。
108	137	Normal	
109	138	Normal	路网与墙体层：所有道路可走边与实体墙共同定义NavMesh。
110	139	Normal	
111	140	Normal	资源层：普通怪槽、猪窝、龙宫、首领场、核心庭与宝箱池。
112	141	Normal	
113	142	Normal	商店层：16宏区与48微锚点。
114	143	Normal	
115	144	Normal	出生层：40宏区与80微位。
116	145	Normal	
117	146	Normal	伏石层：世界与三庭备选伏石关系。
118	147	Heading 1	10 天劫、雷眼、决赛庭与灭世雷暴
119	149	Normal	
120	151	Normal	
121	152	Normal	
122	153	Normal	天劫阶段覆盖与圈心迁移。
123	154	Heading 1	11 PVE生态、怪物、首领、龙王与核心BOSS
124	156	Normal	
125	158	Normal	
126	159	Heading 2	11.1 AI、仇恨与迁移
127	160	List Bullet	除猪的特殊逃跑循环外，所有怪物均主动发现并攻击进入范围的合法玩家；猪也会主动预警、冲锋并在袋底战斗。
128	161	List Bullet	状态：栖息/巡逻→发现→预警→战斗追击→回巢→死亡/迁移；怪物不是被动木桩。
129	162	List Bullet	同巢声响可联动；同一组首次攻击错开0–0.5秒，同组命中至少间隔0.15秒；跨组不提供保护。
130	163	List Bullet	回巢时免疫硬控、获得60%减伤，1.5秒后每秒回复8%，但不是无敌；不允许无限风筝白嫖。
131	164	List Bullet	普通怪死后在本区其他迁移位读秒重生，优先距死亡点30–55米，避开玩家12米和直接视野；无合法位每5秒重试。
132	165	List Bullet	普通/飞行怪攻击不随时间增长；新刷生命按0/5/10/15分钟快照×1.00/1.05/1.10/1.15。首领、龙王、核心按各自HP/攻击/CD曲线成长。
133	166	List Bullet	天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。
134	167	Heading 2	11.2 机械原型完整表
135	169	Normal	
136	171	Normal	
137	172	Heading 3	11.2.1 怪物技能逐条工程表
138	174	Normal	
139	175	Heading 2	11.3 核心BOSS六种签名机制
140	177	Normal	
141	178	Heading 2	11.4 龙王与核心重生窗口
142	179	List Bullet	龙王仅当死亡时刻<11:00才启动240秒重生；到期严格早于15:00。15:00仍存活者可继续击杀，龙宫被天劫完全覆盖后才进入5秒无敌退场且无掉落。
143	180	List Bullet	核心BOSS仅当死亡时刻<14:00才启动300秒重生；下一只换庭。12:00雷眼后，非决赛庭存活BOSS可继续被击杀，直至该庭战斗区被圈边吞没才5秒撤庭并按生命比例迁至决赛庭。
144	181	List Bullet	核心BOSS金币经验归末击；装备、技能书、宝石和地图主动落地后立即公开。雷暴击杀核心时无人获得金币经验，但公开掉落照常生成。
145	182	List Bullet	核心BOSS拥有10米真视并共享给区域内玩家，死亡后10秒仍生效，防止隐身者无风险抢装，但不禁止其隐身或拾取。
146	183	Heading 1	12 掉落、经济、商店、空投与黑山
147	184	Heading 2	12.1 怪物掉落
148	186	Normal	
149	187	List Bullet	怪物与核心BOSS金币经验只归最后伤害所有者；地面物立即公开，不设尾刀保护。世界击杀怪物时金币经验为0，但公开物品掉落仍滚动。
150	188	List Bullet	龙王末击者五行克制龙王时，蓝装升紫、紫装升金、金装保持；升级后按对应五行主题权重重抽。猪只受双向五行伤害，不触发品质升档。
151	189	List Bullet	定向掉落是隐藏规律：技能书有50%概率进入怪物倾向池，装备有35%概率进入倾向池；只改变同品质合法ID权重，不改变掉率和品质率；无合法项回退全局合法池。
152	190	List Bullet	金箍棒G10只由核心BOSS独立5%额外掉落；龙王、普通金装池、黑山和商店均不生成G10。
153	191	Heading 2	12.2 地面物、拾取与遗宝堆
154	193	Normal	
155	194	List Bullet	拾取距离2米且需直接视线；同一地面实例并发拾取时服务端接收序最小者成功。
156	195	List Bullet	同一4米网格≥2件物品时复制为一个遗宝堆网络实体，但每件instance_id、时间、品质、销毁计时和账本保持独立；客户端每页12项。
157	196	List Bullet	地面记录无硬删除上限；8192条报警、256复制簇软上限只触发分页和LOD，绝不因性能压力删装备或技能书。
158	197	List Bullet	宝石进入HUD仓，不占格、不落地；技能书被学习即消耗；装备只能在商店卖出并销毁，不回到货架。
159	198	Heading 2	12.3 六商店数量、时间窗与库存
160	200	Normal	
161	202	Normal	
162	203	Normal	整局理论上架容量：白装58、蓝装46、紫装期望10.2（范围0–18）、技能宝石30、千里眼符18、照妖镜18。这是上架量，不保证售出。
163	204	List Bullet	常态最多同时6家：土地公×2、鞋匠×2、太白×1、黑山×1。商店从16宏区×3微点中迁移，同类尽量异宏区且间距≥100米，不落天劫预告区、唯一通路或实体墙。
164	205	List Bullet	打开界面不预留库存；购买提交时原子验证窗口、实例版本、商品、金币、生命、距离2.5米、直视、脱PVP 3秒和目标槽；售罄保持空格至下一轮。
165	206	List Bullet	12:30黑山关闭；13:15鞋A关闭；14:00鞋B关闭；14:45土B关闭；15:00土A和太白迁入决赛庭；安全半径归零时两家同时关闭。
166	207	List Bullet	15:00土地公A按正常概率补最后完整一轮，之后不再补货。鞋店关闭后仍可去土地公出售鞋。技能宝石只可在土地公按100金出售。
167	208	List Bullet	商店不提供安全区；PVP战斗中不能开，受到玩家来源的实际生命/护盾伤害立即关闭；怪物或天劫伤害不设置PVP时间戳。
168	209	Heading 2	12.4 太白换英雄
169	210	List Bullet	引导开始时锁定选择，允许在3米商店系绳内移动；离开、玩家伤害、死亡或店关会取消，取消不扣金、不进入CD。
170	211	List Bullet	提交顺序：重验→扣1500→启动120秒CD→清旧主动所有者绑定实体→替换英雄身体与五行→保持当前生命百分比至少1→保留等级/经验/金币/被动/宝石/装备/永久层和运行中的状态计时→换新专属并设READY→记账。
171	212	List Bullet	换英雄不免费治疗、不净化负面状态。同英雄换回合法，但保留当前专属主动剩余CD；只有换成不同英雄时，新英雄专属主动设为READY。
172	213	Heading 2	12.5 黑山老妖
173	215	Normal	
174	216	Heading 2	12.6 空投与宝箱
175	218	Normal	
176	219	Heading 1	13 匹配、BOT、新手与断线
177	221	Normal	
178	222	Heading 2	13.1 匹配工程字段
179	224	Normal	
180	225	Heading 2	13.2 BOT工程字段
181	227	Normal	
182	228	Heading 2	13.3 断线重连状态机
183	230	Normal	
184	231	Heading 1	14 局外成长、图鉴、战报与商业化
185	232	List Bullet	局外成长只形成身份、收藏和历史，不给予局内攻击、生命、移速、掉率、折扣、复活或额外候选。38英雄全部免费。
186	233	List Bullet	修为轨道50级；经验来自名次、击杀、PVE里程碑和玩法行为；奖励为头像、头像框、称号、名片和纯外观。
187	234	List Bullet	图鉴：38英雄、101技能（38专属+19通用+44被动）、48装备；状态为未发现/见过/用过/精通，只进不退。定向掉落权重不展示。
188	235	List Bullet	最近20局战报由服务端结算快照生成；最多8个故事节点，只引用真实事件；不展示隐藏MMR、BOT身份和反作弊信号。
189	236	List Bullet	首发只直接销售纯外观；无英雄抽卡、装备/技能抽卡、数值战令、广告复活、复活币、第四条命、付费候选位、微属性、付费掉率或真钱黑山。
190	237	List Bullet	皮肤不得改变碰撞、攻击帧、实际高度、射程、预警几何、脚步响度、五行符号、迷雾识别或可见性；低端机降级不得改变玩法信息。
191	238	Heading 2	14.1 局外系统工程字段
192	240	Normal	
193	241	Heading 2	14.2 图鉴与点赞工程字段
194	243	Normal	
195	244	Heading 2	14.3 商业化开关
196	246	Normal	
197	247	Heading 1	15 网络、后端、事务、回放与反作弊
198	248	List Bullet	服务端20Hz权威模拟；近战斗AI20Hz、远AI5Hz、远召唤10Hz更新意图，但命中和伤害仍在权威tick结算。
199	249	List Bullet	客户端只提交移动、普攻、主动、取消、交互和UI事务意图；伤害、CD、随机、碰撞、视野、物品、金币、库存与胜负不由客户端决定。
200	250	List Bullet	所有购买、出售、拾取、技能书替换、主动替换、宝石分配、太白换人、黑山、真死与掉落使用幂等事务ID和服务端原子提交。
201	251	List Bullet	回放保存根种子、分离随机流消耗、输入、伤害、死亡、拾取、交易、商店、怪物、天劫事件和5秒快照；同规则版本重放哈希必须一致。
202	252	List Bullet	单局合作、救人、让资源、共同打BOSS、背叛、拉怪害人和治疗陌生人均合法。预组队判定只能基于跨局重复模式及设备/IP/匹配证据，不可单局自动处罚。
203	253	List Bullet	第三次淘汰后观战延迟5秒，只显示目标当前直接可见画面与公开信息；不提供自由飞摄、背包、未发现商店或迷雾外实体。
204	254	Heading 2	15.1 网络合同
205	256	Normal	
206	257	Heading 2	15.2 后端与账号合同
207	259	List Bullet	端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。
208	261	Normal	
209	262	Heading 2	15.3 对局事务合同
210	264	Normal	
211	265	Heading 2	15.4 确定性与随机合同
212	267	Normal	
213	268	Heading 2	15.5 随机流合同
214	270	Normal	
215	271	Heading 2	15.6 回放、举报与反作弊
216	273	Normal	
217	274	Heading 1	16 美术、怪物形象、音频、本地化与资产规范
218	275	List Bullet	怪物38套概念形象已按机械角色绑定：普通近战10、普通远程4、飞行4、首领4、五行肥猪5、五行龙王5、核心BOSS6。形象皮肤不得复制或改写机械碰撞与数值。
219	276	List Bullet	红鳞大蟒、黄狮精、如意真仙、玉面狐狸均为普通/远程单位，不属于肥猪；五行肥猪仅限金肥猪、木肥猪、水肥猪、火肥猪、土肥猪。
220	277	List Bullet	3D生产需为每个单位提供模型、骨架、动画、碰撞代理、受击体、攻击/技能帧、LOD与材质预算。皮肤和概念图只决定外观，不决定碰撞。
221	278	List Bullet	重要预警必须视觉+音频双表达；迷雾外声音最多给模糊方向，不得泄露精确身份/坐标；伏石内普通移动脚步对圈外静音，攻击/施法/受击后恢复。
222	279	List Bullet	源音频48kHz/24bit WAV；移动端最大32 voice，PC最大48；致命预警、硬控、核心BOSS前摇和天劫提示不可被声道淘汰。
223	280	List Bullet	中文为首发权威文本；UI字符串使用稳定key；禁止运行时解析展示文案；任何本地化必须保持数值、单位、五行符号和预警等级一致。
224	281	Heading 2	16.1 怪物视觉映射
225	283	Normal	
226	284	Heading 3	16.1.1 38套怪物概念形象
227	285	Normal	以下概念图与MVS资产ID一一对应，只锁定轮廓、气质、五行辨识和角色归属；最终3D模型仍须服从碰撞体、攻击前摇、受击体与LOD预算。
228	286	Normal	
229	287	Normal	
230	288	Normal	
231	289	Normal	
232	290	Normal	
233	291	Normal	
234	292	Normal	
235	293	List Bullet	概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。
236	295	Heading 2	16.2 音频规则与台账
237	297	Normal	
238	298	Heading 2	16.3 美术资产台账
239	300	Normal	
240	301	Heading 1	17 AI开发、性能与发布验收
241	303	Normal	
242	305	Normal	
243	306	Heading 2	17.1 固定发布门槛
244	308	Normal	
245	310	Normal	
246	311	Normal	
247	312	Heading 1	附录A 全英雄与等级数值
248	313	Heading 2	A.1 38英雄映射
249	315	Normal	
250	316	Heading 2	A.2 八种属性模板L1–L15
251	318	Normal	
252	319	Heading 1	附录B 全技能、被动与装备数据
253	320	Normal	本附录补充玩家展示文本。实际机制以第6–8章的完整工程表为准；展示文本不得反向驱动运行时。
254	321	Heading 2	B.1 161条中文展示文本
255	323	Normal	
256	324	Heading 1	附录C 全怪物与定向掉落
257	325	Heading 2	C.1 技能书隐藏倾向权重
258	327	Normal	
259	328	Heading 2	C.2 装备隐藏倾向权重
260	330	Normal	
261	331	Heading 1	附录D 地图坐标、路网、墙体与POI
262	333	Normal	
263	334	Heading 2	D.1 边界与节点
264	336	Normal	
265	338	Normal	
266	339	Heading 2	D.2 路网边
267	341	Normal	
268	342	Heading 2	D.3 实体墙多边形
269	344	Normal	
270	346	Normal	
271	347	Heading 2	D.4 高台与坡道
272	349	Normal	
273	351	Normal	
274	353	Normal	
275	354	Heading 2	D.5 三庭完整设施
276	356	Normal	
277	358	Normal	
278	359	Normal	
279	360	Normal	惊蛰庭决赛圈与设施
280	361	Normal	
281	362	Normal	玄冥庭决赛圈与设施
282	363	Normal	
283	364	Normal	焚天庭决赛圈与设施
284	365	Heading 2	D.6 出生宏区与80微位
285	367	Normal	
286	369	Normal	
287	370	Heading 2	D.7 商店宏区与48微锚点
288	372	Normal	
289	374	Normal	
290	375	Heading 2	D.8 怪物槽、巢穴与迁移位
291	377	Normal	
292	379	Normal	
293	381	Normal	
294	382	Heading 2	D.9 猪窝、龙宫、首领场、伏石、关口与宝箱
295	384	Normal	
296	386	Normal	
297	388	Normal	
298	390	Normal	
299	392	Normal	
300	394	Normal	
301	395	Heading 1	附录E 运行时工程字段、枚举、事件与资产台账
302	396	Normal	以下表把正文不宜展开的执行字段收进同一文档，构成本文内部的规范化工程附录。
303	397	Heading 2	E.1 单局与致死总合同
304	399	Normal	
305	400	Heading 2	E.2 生命、等级与复活
306	402	Normal	
307	403	Heading 2	E.3 战斗与伤害
308	405	Normal	
309	406	Heading 2	E.4 战斗解析
310	408	Normal	
311	409	Heading 2	E.5 五行
312	411	Normal	
313	412	Heading 2	E.6 输入
314	414	Normal	
315	415	Heading 2	E.7 视野与信息态
316	417	Normal	
317	418	Heading 2	E.8 移动、飞行、高台与动态实体
318	420	Normal	
319	421	Heading 2	E.9 动态实体放置
320	423	Normal	
321	424	Heading 2	E.10 召唤物
322	426	Normal	
323	427	Heading 2	E.11 天劫
324	429	Normal	
325	430	Heading 2	E.12 怪物AI
326	432	Normal	
327	433	Heading 2	E.13 怪物战斗
328	435	Normal	
329	436	Heading 2	E.14 经济掉落
330	438	Normal	
331	439	Heading 2	E.15 经济效果
332	441	Normal	
333	442	Heading 2	E.16 地面物
334	444	Normal	
335	445	Heading 2	E.17 商店
336	447	Normal	
337	448	Heading 2	E.18 黑山
338	450	Normal	
339	451	Heading 2	E.19 空投
340	453	Normal	
341	454	Heading 2	E.20 UI流程
342	456	Normal	
343	457	Heading 2	E.21 状态机
344	459	Normal	
345	460	Heading 2	E.22 同tick事件顺序
346	462	Normal	
347	463	Heading 2	E.23 闭合枚举
348	465	Normal	
349	466	Heading 2	E.24 设置
350	468	Normal	
351	469	Heading 2	E.25 埋点
352	471	Normal	
353	472	Heading 2	E.26 主动技能强类型运行时载荷
354	473	Normal	本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。
355	475	Heading 2	E.27 H009被动效果倍率精确白名单
356	477	Heading 2	E.28 数值类型、单位与容器系统
357	479	Heading 2	E.29 公式DSL与AST合同
358	481	Heading 2	E.30 主动效果逐类型字段矩阵
359	482	List Bullet	基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。
360	485	Heading 2	E.31 被动技能强类型运行时载荷（44项）
361	486	List Bullet	运行时唯一权威。第7章工程数值列为本表的单向投影，运行时禁止解析。
362	489	Heading 2	E.32 装备强类型运行时载荷（48项）
363	490	List Bullet	运行时唯一权威。第8章属性与效果列为本表的单向投影，运行时禁止解析。
364	492	Heading 2	E.33 怪物技能强类型运行时载荷
365	495	Heading 2	E.34 召唤物强类型运行时载荷
366	496	List Bullet	运行时唯一权威；E.10保留全局继承与AI规则，逐原型战斗数值以本表为准。
367	498	Heading 2	E.35 H009快照语义、字段饱和与区域叠加
368	500	Heading 2	E.36 第二轮关联扩散审计修订裁决记录（108—170）
369	502	Heading 2	E.37 第三轮收敛审计修订记录（171—179）
