table_index	block_index	rows	columns_max	preceding_context	header_preview	cell_count
43	217	41	2	换英雄不免费治疗、不净化负面状态。同英雄换回合法，但保留当前专属主动剩余CD；只有换成不同英雄时，新英雄专属主动设为READY。 || 12.5 黑山老妖 || 12.6 空投与宝箱	工程字段 | 唯一值 / 执行语义	82
44	220	7	2	12.5 黑山老妖 || 12.6 空投与宝箱 || 13 匹配、BOT、新手与断线	系统 | 定案	14
45	223	81	2	12.6 空投与宝箱 || 13 匹配、BOT、新手与断线 || 13.1 匹配工程字段	工程字段 | 唯一值 / 执行语义	162
46	226	69	2	13 匹配、BOT、新手与断线 || 13.1 匹配工程字段 || 13.2 BOT工程字段	工程字段 | 唯一值 / 执行语义	138
47	229	45	2	13.1 匹配工程字段 || 13.2 BOT工程字段 || 13.3 断线重连状态机	工程字段 | 唯一值 / 执行语义	90
48	239	304	2	首发只直接销售纯外观；无英雄抽卡、装备/技能抽卡、数值战令、广告复活、复活币、第四条命、付费候选位、微属性、付费掉率或真钱黑山。 || 皮肤不得改变碰撞、攻击帧、实际高度、射程、预警几何、脚步响度、五行符号、迷雾识别或可见性；低端机降级不得改变玩法信息。 || 14.1 局外系统工程字段	工程字段 | 唯一值 / 执行语义	608
49	242	38	2	皮肤不得改变碰撞、攻击帧、实际高度、射程、预警几何、脚步响度、五行符号、迷雾识别或可见性；低端机降级不得改变玩法信息。 || 14.1 局外系统工程字段 || 14.2 图鉴与点赞工程字段	工程字段 | 唯一值 / 执行语义	76
50	245	20	2	14.1 局外系统工程字段 || 14.2 图鉴与点赞工程字段 || 14.3 商业化开关	工程字段 | 唯一值 / 执行语义	40
51	255	27	2	单局合作、救人、让资源、共同打BOSS、背叛、拉怪害人和治疗陌生人均合法。预组队判定只能基于跨局重复模式及设备/IP/匹配证据，不可单局自动处罚。 || 第三次淘汰后观战延迟5秒，只显示目标当前直接可见画面与公开信息；不提供自由飞摄、背包、未发现商店或迷雾外实体。 || 15.1 网络合同	工程字段 | 唯一值 / 执行语义	54
52	258	236	2	第三次淘汰后观战延迟5秒，只显示目标当前直接可见画面与公开信息；不提供自由飞摄、背包、未发现商店或迷雾外实体。 || 15.1 网络合同 || 15.2 后端与账号合同	工程字段 | 唯一值 / 执行语义	472
53	260	17	4	15.1 网络合同 || 15.2 后端与账号合同 || 端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。	写端点 | 通用错误（HTTP 语义 retryable） | 端点特有错误 | 幂等冲突结果	68
54	263	44	2	15.2 后端与账号合同 || 端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。 || 15.3 对局事务合同	工程字段 | 唯一值 / 执行语义	88
55	266	26	2	端点级错误矩阵：括号内为retryable及重试前置条件；未列出的状态码禁止返回。所有写端点必须携带幂等键。 || 15.3 对局事务合同 || 15.4 确定性与随机合同	工程字段 | 唯一值 / 执行语义	52
56	269	19	2	15.3 对局事务合同 || 15.4 确定性与随机合同 || 15.5 随机流合同	工程字段 | 唯一值 / 执行语义	38
57	272	36	2	15.4 确定性与随机合同 || 15.5 随机流合同 || 15.6 回放、举报与反作弊	工程字段 | 唯一值 / 执行语义	72
58	282	39	6	源音频48kHz/24bit WAV；移动端最大32 voice，PC最大48；致命预警、硬控、核心BOSS前摇和天劫提示不可被声道淘汰。 || 中文为首发权威文本；UI字符串使用稳定key；禁止运行时解析展示文案；任何本地化必须保持数值、单位、五行符号和预警等级一致。 || 16.1 怪物视觉映射	资产ID | 游戏名 | 机械角色 | 战斗模板 | 五行 | 状态	234
59	294	39	6	16.1.1 38套怪物概念形象 || 以下概念图与MVS资产ID一一对应，只锁定轮廓、气质、五行辨识和角色归属；最终3D模型仍须服从碰撞体、攻击前摇、受击体与LOD预算。 || 概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。	资产ID | 游戏名 | 概念源文件名 | 源文件SHA-256 | 版权状态 | 派生3D资产	234
60	296	104	11	以下概念图与MVS资产ID一一对应，只锁定轮廓、气质、五行辨识和角色归属；最终3D模型仍须服从碰撞体、攻击前摇、受击体与LOD预算。 || 概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。 || 16.2 音频规则与台账	audio_id | category | owner_id | trigger | spatial | max_distance_m | max_instances | priority | duck_db | min_variants | status	1144
61	299	244	13	概念资产入库清单：38套概念图必须补录源文件名与SHA-256并通过版权审查；G_CONCEPT_ASSET_MANIFEST未闭合前禁止对外发布使用该形象的任何物料。 || 16.2 音频规则与台账 || 16.3 美术资产台账	asset_id | category | owner_id | display_name | deliverable | lod0_tri | lod1_tri | lod2_tri | bones_max | materials_max | source_texture | priority | status	3172
62	302	1	1	16.2 音频规则与台账 || 16.3 美术资产台账 || 17 AI开发、性能与发布验收	AI开发纪律｜AI只能把本文转换为数据、代码、资源和测试；不得补写数值、发明默认值、把玩家文案当运行时规则，或为了实现方便添加绕过真实碰撞体的区域限制、终局显形等额外规则。	1
63	304	10	2	16.2 音频规则与台账 || 16.3 美术资产台账 || 17 AI开发、性能与发布验收	维度 | 固定要求	20
64	307	153	2	16.3 美术资产台账 || 17 AI开发、性能与发布验收 || 17.1 固定发布门槛	工程字段 | 唯一值 / 执行语义	306
65	309	1	1	16.3 美术资产台账 || 17 AI开发、性能与发布验收 || 17.1 固定发布门槛	门槛状态释义｜本文的玩法、数值、几何、交互和工程口径均已定案。BLOCKING_PRERELEASE_ENGINE、BLOCKING_PRERELEASE_EXTERNAL与MONITOR_ONLY只表示实现后的验证阶段，不代表规则尚未确定，也不授权开发过程临时改写本文；若验证失败，必须形成可复现证据并回到同一真源版本化修订。	1
66	314	39	9	17.1 固定发布门槛 || 附录A 全英雄与等级数值 || A.1 38英雄映射	ID | 英雄 | 模板 | 移动类 | 五行 | 专属 | L1攻/血/速 | L15攻/血/速 | 射程/攻速	351
67	317	121	8	附录A 全英雄与等级数值 || A.1 38英雄映射 || A.2 八种属性模板L1–L15	模板 | 等级 | 攻击 | 生命 | 移速 | 射程m | 攻速次每秒 | 该级DPS	968
68	322	162	6	附录B 全技能、被动与装备数据 || 本附录补充玩家展示文本。实际机制以第6–8章的完整工程表为准；展示文本不得反向驱动运行时。 || B.1 161条中文展示文本	key | category | owner | skill_name | platform | text	972
69	326	45	8	B.1 161条中文展示文本 || 附录C 全怪物与定向掉落 || C.1 技能书隐藏倾向权重	被动ID | CORE | ELITE_DPS | ELITE_TANK | FLY | MEL | PIG | RNG	360
70	329	49	10	附录C 全怪物与定向掉落 || C.1 技能书隐藏倾向权重 || C.2 装备隐藏倾向权重	装备ID | CORE | DRAGON_EARTH | DRAGON_FIRE | DRAGON_METAL | DRAGON_WATER | DRAGON_WOOD | ELITE_DPS | ELITE_TANK | PIG	490
71	332	1	1	C.1 技能书隐藏倾向权重 || C.2 装备隐藏倾向权重 || 附录D 地图坐标、路网、墙体与POI	地图导入｜以下坐标为米制设计坐标。运行时导入时转换为毫米整数；实体身份使用命名空间+ID，source_label只作美术/关卡查找，不作运行时主键。	1
72	335	22	2	C.2 装备隐藏倾向权重 || 附录D 地图坐标、路网、墙体与POI || D.1 边界与节点	序号 | 边界点(x,y)m	44
73	337	193	5	C.2 装备隐藏倾向权重 || 附录D 地图坐标、路网、墙体与POI || D.1 边界与节点	节点 | X | Y | Z | 属性	965
74	340	406	8	附录D 地图坐标、路网、墙体与POI || D.1 边界与节点 || D.2 路网边	边ID | A | B | 类型 | 宽m | 长m | Nav | 方向	3248
75	343	48	6	D.1 边界与节点 || D.2 路网边 || D.3 实体墙多边形	墙ID | 类别 | Z0 | 高m | 顶点数 | 碰撞	288
76	345	76	3	D.1 边界与节点 || D.2 路网边 || D.3 实体墙多边形	墙ID | 顶点序号 | 有序顶点(x,y)m	228
77	348	4	7	D.2 路网边 || D.3 实体墙多边形 || D.4 高台与坡道	高台ID | 名称 | 顶高 | 眺望m | 顶面 | 侧壁 | 职责	28
78	350	4	2	D.2 路网边 || D.3 实体墙多边形 || D.4 高台与坡道	高台ID | 有序顶面顶点(x,y)m	8
79	352	7	8	D.2 路网边 || D.3 实体墙多边形 || D.4 高台与坡道	坡道ID | 高台 | 宽 | Z0 | Z1 | 中心线 | 插值 | 可走	56
80	355	4	6	D.3 实体墙多边形 || D.4 高台与坡道 || D.5 三庭完整设施	庭ID | 名称 | 中心 | 有序边界 | 入口 | region_id	24
81	357	43	5	D.3 实体墙多边形 || D.4 高台与坡道 || D.5 三庭完整设施	庭ID | 设施类型 | 设施ID | 坐标m | 半径m	215
82	366	41	3	玄冥庭决赛圈与设施 || 焚天庭决赛圈与设施 || D.6 出生宏区与80微位	宏区ID | 标签 | 微位ID	123
83	368	81	7	玄冥庭决赛圈与设施 || 焚天庭决赛圈与设施 || D.6 出生宏区与80微位	微位ID | 标签 | 坐标m | 朝向° | 宏区 | 出口节点 | region_id	567
84	371	17	3	焚天庭决赛圈与设施 || D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点	宏区ID | 标签 | 微点ID	51
85	373	49	5	焚天庭决赛圈与设施 || D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点	微点ID | 标签 | 坐标m | 宏区 | region_id	245
86	376	109	8	D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位	槽ID | 源标签 | 类型 | 圈层 | 巢穴 | 主坐标 | 3迁移位 | region_id	872
87	378	72	7	D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位	巢穴ID | 标签 | 类型 | 圈层 | 坐标 | 槽 | 起步区	504
88	380	6	2	D.6 出生宏区与80微位 || D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位	联动A | 联动B	12
89	383	13	8	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	猪窝ID | 入口 | 初始 | 袋底 | 宽 | 长 | 逃跑路径 | region_id	104
90	385	6	4	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	龙宫ID | 标签 | 坐标 | region_id	24
91	387	5	4	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	首领场ID | 标签 | 坐标 | region_id	20
92	389	25	5	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	伏石ID | 标签 | 坐标 | 半径 | region_id	125
93	391	5	3	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	关口ID | 坐标 | region_id	15
94	393	168	3	D.7 商店宏区与48微锚点 || D.8 怪物槽、巢穴与迁移位 || D.9 猪窝、龙宫、首领场、伏石、关口与宝箱	宝箱点ID | 坐标 | region_id	504
95	398	140	2	附录E 运行时工程字段、枚举、事件与资产台账 || 以下表把正文不宜展开的执行字段收进同一文档，构成本文内部的规范化工程附录。 || E.1 单局与致死总合同	工程字段 | 唯一值 / 执行语义	280
96	401	151	2	以下表把正文不宜展开的执行字段收进同一文档，构成本文内部的规范化工程附录。 || E.1 单局与致死总合同 || E.2 生命、等级与复活	工程字段 | 唯一值 / 执行语义	302
97	404	183	2	E.1 单局与致死总合同 || E.2 生命、等级与复活 || E.3 战斗与伤害	工程字段 | 唯一值 / 执行语义	366
98	407	16	2	E.2 生命、等级与复活 || E.3 战斗与伤害 || E.4 战斗解析	工程字段 | 唯一值 / 执行语义	32
99	410	16	2	E.3 战斗与伤害 || E.4 战斗解析 || E.5 五行	工程字段 | 唯一值 / 执行语义	32
100	413	59	2	E.4 战斗解析 || E.5 五行 || E.6 输入	工程字段 | 唯一值 / 执行语义	118
101	416	71	2	E.5 五行 || E.6 输入 || E.7 视野与信息态	工程字段 | 唯一值 / 执行语义	142
102	419	70	2	E.6 输入 || E.7 视野与信息态 || E.8 移动、飞行、高台与动态实体	工程字段 | 唯一值 / 执行语义	140
103	422	17	2	E.7 视野与信息态 || E.8 移动、飞行、高台与动态实体 || E.9 动态实体放置	工程字段 | 唯一值 / 执行语义	34
104	425	56	2	E.8 移动、飞行、高台与动态实体 || E.9 动态实体放置 || E.10 召唤物	工程字段 | 唯一值 / 执行语义	112
105	428	46	2	E.9 动态实体放置 || E.10 召唤物 || E.11 天劫	工程字段 | 唯一值 / 执行语义	92
106	431	61	2	E.10 召唤物 || E.11 天劫 || E.12 怪物AI	工程字段 | 唯一值 / 执行语义	122
107	434	142	2	E.11 天劫 || E.12 怪物AI || E.13 怪物战斗	工程字段 | 唯一值 / 执行语义	284
108	437	87	2	E.12 怪物AI || E.13 怪物战斗 || E.14 经济掉落	工程字段 | 唯一值 / 执行语义	174
109	440	40	2	E.13 怪物战斗 || E.14 经济掉落 || E.15 经济效果	工程字段 | 唯一值 / 执行语义	80
110	443	53	2	E.14 经济掉落 || E.15 经济效果 || E.16 地面物	工程字段 | 唯一值 / 执行语义	106
111	446	240	2	E.15 经济效果 || E.16 地面物 || E.17 商店	工程字段 | 唯一值 / 执行语义	480
112	449	79	2	E.16 地面物 || E.17 商店 || E.18 黑山	工程字段 | 唯一值 / 执行语义	158
113	452	41	2	E.17 商店 || E.18 黑山 || E.19 空投	工程字段 | 唯一值 / 执行语义	82
114	455	30	2	E.18 黑山 || E.19 空投 || E.20 UI流程	工程字段 | 唯一值 / 执行语义	60
115	458	96	2	E.19 空投 || E.20 UI流程 || E.21 状态机	工程字段 | 唯一值 / 执行语义	192
116	461	9	2	E.20 UI流程 || E.21 状态机 || E.22 同tick事件顺序	工程字段 | 唯一值 / 执行语义	18
117	464	46	2	E.21 状态机 || E.22 同tick事件顺序 || E.23 闭合枚举	工程字段 | 唯一值 / 执行语义	92
118	467	99	2	E.22 同tick事件顺序 || E.23 闭合枚举 || E.24 设置	工程字段 | 唯一值 / 执行语义	198
119	470	239	2	E.23 闭合枚举 || E.24 设置 || E.25 埋点	工程字段 | 唯一值 / 执行语义	478
120	474	58	2	E.25 埋点 || E.26 主动技能强类型运行时载荷 || 本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。	active_id | runtime_payload_json	116
121	476	45	3	E.26 主动技能强类型运行时载荷 || 本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。 || E.27 H009被动效果倍率精确白名单	被动ID | H009允许翻倍字段 | 变换类型	135
122	478	13	2	本表是57项主动的运行时权威。runtime_payload_json中的每个值均带显式类型标签；内容编译器只读取本表，禁止解析§6的自然语言或分号字符串。未知字段、重复字段、类型不符或缺少必填字段均使内容构建失败。 || E.27 H009被动效果倍率精确白名单 || E.28 数值类型、单位与容器系统	工程字段 | 唯一值 / 执行语义	26
123	480	10	2	E.27 H009被动效果倍率精确白名单 || E.28 数值类型、单位与容器系统 || E.29 公式DSL与AST合同	工程字段 | 唯一值 / 执行语义	20
124	483	56	2	E.29 公式DSL与AST合同 || E.30 主动效果逐类型字段矩阵 || 基础结构族替代单一common_required：所有类型必含BASE族；含伤害者必含damage_events[]或单事件DAMAGE族。下表为57种effect_type的闭合字段集，三段语义：未标注者必填；标注'允许缺省'者可省略；矩阵外字段一律禁止出现。违反任一条即构建失败。	effect_type | 闭合字段集（除schema_version/payload_sha256外）	112
