block_index	kind	item_index	style_or_shape	preceding_context	text_or_preview
115	table	22	45x6	同名5级书不可拾取；四槽满时拾取不同名书必须明确选择被替换槽，取消则书留在地面公开。 || 技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。 || 真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。	ID | 名称 | 类别 | 触发 | 玩家说明 | 工程数值(L1–L5)
116	paragraph	94	Normal		
117	paragraph	95	Heading 1		8 装备、手牌、技能书与宝石
118	table	23	7x2	技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。 || 真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。 || 8 装备、手牌、技能书与宝石	容量 | 规则
119	paragraph	96	Normal		
120	table	24	49x8	技能宝石进入HUD宝石仓，不占手牌且不能主动丢地；可自由分配给未满级被动；全部被动5级时拒绝拾取或购买。 || 真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。 || 8 装备、手牌、技能书与宝石	ID | 名称 | 品质 | 属性 | 效果 | 买价 | 卖价 | 商店
121	paragraph	97	Normal		
122	paragraph	98	Heading 1		9 百眼迷城地图总则与精确几何
123	table	25	13x2	真死保留被动与等级，但重置内置CD并清临时状态；替换被动时清其实体、未来计时器和永久层，已独立施加的DoT按合同继续。 || 8 装备、手牌、技能书与宝石 || 9 百眼迷城地图总则与精确几何	项目 | 定案
124	paragraph	99	Normal		
125	paragraph	100	Heading 2		9.1 六区职责
126	table	26	8x2	8 装备、手牌、技能书与宝石 || 9 百眼迷城地图总则与精确几何 || 9.1 六区职责	区块 | 主体验与路线职责
127	paragraph	101	Heading 2		9.1a 六区可计算边界
128	table	27	7x4	9 百眼迷城地图总则与精确几何 || 9.1 六区职责 || 9.1a 六区可计算边界	region_id | 中文名 | 共享边界路径 | 闭合多边形顶点（米）
129	paragraph	102	List Bullet		共享边界路径为唯一权威几何；六区多边形仅由外边界段与下表路径拼接生成。构建器必须验证：每条路径顶点在两侧多边形中按序完整出现、六区并集覆盖全图无缝隙、任意两区交集面积为0。
130	table	28	7x4	9.1 六区职责 || 9.1a 六区可计算边界 || 共享边界路径为唯一权威几何；六区多边形仅由外边界段与下表路径拼接生成。构建器必须验证：每条路径顶点在两侧多边形中按序完整出现、六区并集覆盖全图无缝隙、任意两区交集面积为0。	path_id | 相邻区对 | 顶点数 | 有序顶点（米，自圆心向外）
131	paragraph	103	Heading 2		9.1b 三维地表与物体行为矩阵
132	table	29	8x8	9.1a 六区可计算边界 || 共享边界路径为唯一权威几何；六区多边形仅由外边界段与下表路径拼接生成。构建器必须验证：每条路径顶点在两侧多边形中按序完整出现、六区并集覆盖全图无缝隙、任意两区交集面积为0。 || 9.1b 三维地表与物体行为矩阵	对象类 | 移动 | 视线 | 弹道 | 飞行 | 闪现 | 可破坏 | 唯一工程语义
133	paragraph	104	Normal		
134	paragraph	105	Heading 2		9.2 地图总图与分层图
135	paragraph	106	Normal		
136	paragraph	107	Normal		百眼迷城840米灰盒总图：道路、墙体、区块、资源和三庭的统一空间关系。
137	paragraph	108	Normal		
138	paragraph	109	Normal		路网与墙体层：所有道路可走边与实体墙共同定义NavMesh。
139	paragraph	110	Normal		
140	paragraph	111	Normal		资源层：普通怪槽、猪窝、龙宫、首领场、核心庭与宝箱池。
141	paragraph	112	Normal		
142	paragraph	113	Normal		商店层：16宏区与48微锚点。
143	paragraph	114	Normal		
144	paragraph	115	Normal		出生层：40宏区与80微位。
145	paragraph	116	Normal		
146	paragraph	117	Normal		伏石层：世界与三庭备选伏石关系。
147	paragraph	118	Heading 1		10 天劫、雷眼、决赛庭与灭世雷暴
148	table	30	11x5	出生层：40宏区与80微位。 || 伏石层：世界与三庭备选伏石关系。 || 10 天劫、雷眼、决赛庭与灭世雷暴	时间 | 阶段 | 安全半径 | 圈心 | 事件
149	paragraph	119	Normal		
150	table	31	7x2	出生层：40宏区与80微位。 || 伏石层：世界与三庭备选伏石关系。 || 10 天劫、雷眼、决赛庭与灭世雷暴	类型 | 定案规则
151	paragraph	120	Normal		
152	paragraph	121	Normal		
153	paragraph	122	Normal		天劫阶段覆盖与圈心迁移。
154	paragraph	123	Heading 1		11 PVE生态、怪物、首领、龙王与核心BOSS
155	table	32	1x1	10 天劫、雷眼、决赛庭与灭世雷暴 || 天劫阶段覆盖与圈心迁移。 || 11 PVE生态、怪物、首领、龙王与核心BOSS	PVE调性｜怪物是“有牙的资源”：少量小怪可稳定处理，拉十几二十只会因近战围位、远程和错帧攻击迅速变危险；AOE构筑用更高瞬时风险换更快清群，但PVE不压过玩家之间的主戏。
156	paragraph	124	Normal		
157	table	33	9x3	10 天劫、雷眼、决赛庭与灭世雷暴 || 天劫阶段覆盖与圈心迁移。 || 11 PVE生态、怪物、首领、龙王与核心BOSS	机械层级 | 同时存量 | 定位
158	paragraph	125	Normal		
159	paragraph	126	Heading 2		11.1 AI、仇恨与迁移
160	paragraph	127	List Bullet		除猪的特殊逃跑循环外，所有怪物均主动发现并攻击进入范围的合法玩家；猪也会主动预警、冲锋并在袋底战斗。
161	paragraph	128	List Bullet		状态：栖息/巡逻→发现→预警→战斗追击→回巢→死亡/迁移；怪物不是被动木桩。
162	paragraph	129	List Bullet		同巢声响可联动；同一组首次攻击错开0–0.5秒，同组命中至少间隔0.15秒；跨组不提供保护。
163	paragraph	130	List Bullet		回巢时免疫硬控、获得60%减伤，1.5秒后每秒回复8%，但不是无敌；不允许无限风筝白嫖。
164	paragraph	131	List Bullet		普通怪死后在本区其他迁移位读秒重生，优先距死亡点30–55米，避开玩家12米和直接视野；无合法位每5秒重试。
165	paragraph	132	List Bullet		普通/飞行怪攻击不随时间增长；新刷生命按0/5/10/15分钟快照×1.00/1.05/1.10/1.15。首领、龙王、核心按各自HP/攻击/CD曲线成长。
166	paragraph	133	List Bullet		天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。
167	paragraph	134	Heading 2		11.2 机械原型完整表
168	table	34	23x14	普通/飞行怪攻击不随时间增长；新刷生命按0/5/10/15分钟快照×1.00/1.05/1.10/1.15。首领、龙王、核心按各自HP/攻击/CD曲线成长。 || 天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。 || 11.2 机械原型完整表	ID | 名称 | 层级 | 五行 | HP | 攻 | 攻速 | 移速 | 射程 | 发现 | 重生 | 前摇 | 后摇 | 弹速
169	paragraph	135	Normal		
170	table	35	23x12	普通/飞行怪攻击不随时间增长；新刷生命按0/5/10/15分钟快照×1.00/1.05/1.10/1.15。首领、龙王、核心按各自HP/攻击/CD曲线成长。 || 天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。 || 11.2 机械原型完整表	ID | 碰撞r | 碰撞h | 转向°/s | 加速s | 脱链边界 | HP阶段倍率 | 攻击阶段倍率 | 伤害形态 | 五行规则 | 命中类 | 归属
171	paragraph	136	Normal		
172	paragraph	137	Heading 3		11.2.1 怪物技能逐条工程表
173	table	36	9x11	天劫吞没刷新节点即停止后续刷新；圈外存活怪连续覆盖60秒后消散，不迁入内圈堆积。 || 11.2 机械原型完整表 || 11.2.1 怪物技能逐条工程表	技能ID | 使用者 | CD | 前摇 | 形状 | 伤害 | 附加规则 | 形态 | 五行 | 命中 | 归属
174	paragraph	138	Normal		
175	paragraph	139	Heading 2		11.3 核心BOSS六种签名机制
176	table	37	7x3	11.2 机械原型完整表 || 11.2.1 怪物技能逐条工程表 || 11.3 核心BOSS六种签名机制	ID | 名称 | 完整签名机制
177	paragraph	140	Normal		
178	paragraph	141	Heading 2		11.4 龙王与核心重生窗口
179	paragraph	142	List Bullet		龙王仅当死亡时刻<11:00才启动240秒重生；到期严格早于15:00。15:00仍存活者可继续击杀，龙宫被天劫完全覆盖后才进入5秒无敌退场且无掉落。
180	paragraph	143	List Bullet		核心BOSS仅当死亡时刻<14:00才启动300秒重生；下一只换庭。12:00雷眼后，非决赛庭存活BOSS可继续被击杀，直至该庭战斗区被圈边吞没才5秒撤庭并按生命比例迁至决赛庭。
181	paragraph	144	List Bullet		核心BOSS金币经验归末击；装备、技能书、宝石和地图主动落地后立即公开。雷暴击杀核心时无人获得金币经验，但公开掉落照常生成。
182	paragraph	145	List Bullet		核心BOSS拥有10米真视并共享给区域内玩家，死亡后10秒仍生效，防止隐身者无风险抢装，但不禁止其隐身或拾取。
183	paragraph	146	Heading 1		12 掉落、经济、商店、空投与黑山
184	paragraph	147	Heading 2		12.1 怪物掉落
185	table	38	11x8	核心BOSS拥有10米真视并共享给区域内玩家，死亡后10秒仍生效，防止隐身者无风险抢装，但不禁止其隐身或拾取。 || 12 掉落、经济、商店、空投与黑山 || 12.1 怪物掉落	来源 | 金币 | 经验 | 书 | 宝石 | 装备 | 通用主动 | G10
186	paragraph	148	Normal		
187	paragraph	149	List Bullet		怪物与核心BOSS金币经验只归最后伤害所有者；地面物立即公开，不设尾刀保护。世界击杀怪物时金币经验为0，但公开物品掉落仍滚动。
188	paragraph	150	List Bullet		龙王末击者五行克制龙王时，蓝装升紫、紫装升金、金装保持；升级后按对应五行主题权重重抽。猪只受双向五行伤害，不触发品质升档。
189	paragraph	151	List Bullet		定向掉落是隐藏规律：技能书有50%概率进入怪物倾向池，装备有35%概率进入倾向池；只改变同品质合法ID权重，不改变掉率和品质率；无合法项回退全局合法池。
190	paragraph	152	List Bullet		金箍棒G10只由核心BOSS独立5%额外掉落；龙王、普通金装池、黑山和商店均不生成G10。
191	paragraph	153	Heading 2		12.2 地面物、拾取与遗宝堆
192	table	39	11x3	定向掉落是隐藏规律：技能书有50%概率进入怪物倾向池，装备有35%概率进入倾向池；只改变同品质合法ID权重，不改变掉率和品质率；无合法项回退全局合法池。 || 金箍棒G10只由核心BOSS独立5%额外掉落；龙王、普通金装池、黑山和商店均不生成G10。 || 12.2 地面物、拾取与遗宝堆	类别 | 安全区寿命 | 天劫规则
193	paragraph	154	Normal		
194	paragraph	155	List Bullet		拾取距离2米且需直接视线；同一地面实例并发拾取时服务端接收序最小者成功。
195	paragraph	156	List Bullet		同一4米网格≥2件物品时复制为一个遗宝堆网络实体，但每件instance_id、时间、品质、销毁计时和账本保持独立；客户端每页12项。
196	paragraph	157	List Bullet		地面记录无硬删除上限；8192条报警、256复制簇软上限只触发分页和LOD，绝不因性能压力删装备或技能书。
197	paragraph	158	List Bullet		宝石进入HUD仓，不占格、不落地；技能书被学习即消耗；装备只能在商店卖出并销毁，不回到货架。
198	paragraph	159	Heading 2		12.3 六商店数量、时间窗与库存
199	table	40	7x4	地面记录无硬删除上限；8192条报警、256复制簇软上限只触发分页和LOD，绝不因性能压力删装备或技能书。 || 宝石进入HUD仓，不占格、不落地；技能书被学习即消耗；装备只能在商店卖出并销毁，不回到货架。 || 12.3 六商店数量、时间窗与库存	实例 | 类型 | 营业半开窗口 | 每窗开启事件
200	paragraph	160	Normal		
201	table	41	5x3	地面记录无硬删除上限；8192条报警、256复制簇软上限只触发分页和LOD，绝不因性能压力删装备或技能书。 || 宝石进入HUD仓，不占格、不落地；技能书被学习即消耗；装备只能在商店卖出并销毁，不回到货架。 || 12.3 六商店数量、时间窗与库存	店型 | 单实例单轮容量 | 价格与规则
202	paragraph	161	Normal		
203	paragraph	162	Normal		整局理论上架容量：白装58、蓝装46、紫装期望10.2（范围0–18）、技能宝石30、千里眼符18、照妖镜18。这是上架量，不保证售出。
204	paragraph	163	List Bullet		常态最多同时6家：土地公×2、鞋匠×2、太白×1、黑山×1。商店从16宏区×3微点中迁移，同类尽量异宏区且间距≥100米，不落天劫预告区、唯一通路或实体墙。
205	paragraph	164	List Bullet		打开界面不预留库存；购买提交时原子验证窗口、实例版本、商品、金币、生命、距离2.5米、直视、脱PVP 3秒和目标槽；售罄保持空格至下一轮。
206	paragraph	165	List Bullet		12:30黑山关闭；13:15鞋A关闭；14:00鞋B关闭；14:45土B关闭；15:00土A和太白迁入决赛庭；安全半径归零时两家同时关闭。
207	paragraph	166	List Bullet		15:00土地公A按正常概率补最后完整一轮，之后不再补货。鞋店关闭后仍可去土地公出售鞋。技能宝石只可在土地公按100金出售。
208	paragraph	167	List Bullet		商店不提供安全区；PVP战斗中不能开，受到玩家来源的实际生命/护盾伤害立即关闭；怪物或天劫伤害不设置PVP时间戳。
209	paragraph	168	Heading 2		12.4 太白换英雄
210	paragraph	169	List Bullet		引导开始时锁定选择，允许在3米商店系绳内移动；离开、玩家伤害、死亡或店关会取消，取消不扣金、不进入CD。
211	paragraph	170	List Bullet		提交顺序：重验→扣1500→启动120秒CD→清旧主动所有者绑定实体→替换英雄身体与五行→保持当前生命百分比至少1→保留等级/经验/金币/被动/宝石/装备/永久层和运行中的状态计时→换新专属并设READY→记账。
212	paragraph	171	List Bullet		换英雄不免费治疗、不净化负面状态。同英雄换回合法，但保留当前专属主动剩余CD；只有换成不同英雄时，新英雄专属主动设为READY。
213	paragraph	172	Heading 2		12.5 黑山老妖
214	table	42	5x4	提交顺序：重验→扣1500→启动120秒CD→清旧主动所有者绑定实体→替换英雄身体与五行→保持当前生命百分比至少1→保留等级/经验/金币/被动/宝石/装备/永久层和运行中的状态计时→换新专属并设READY→记账。 || 换英雄不免费治疗、不净化负面状态。同英雄换回合法，但保留当前专属主动剩余CD；只有换成不同英雄时，新英雄专属主动设为READY。 || 12.5 黑山老妖	赌局 | 普通 大赢/平/亏 | P10 大赢/平/亏 | 输入与结果
215	paragraph	173	Normal		
216	paragraph	174	Heading 2		12.6 空投与宝箱
217	table	43	41x2	换英雄不免费治疗、不净化负面状态。同英雄换回合法，但保留当前专属主动剩余CD；只有换成不同英雄时，新英雄专属主动设为READY。 || 12.5 黑山老妖 || 12.6 空投与宝箱	工程字段 | 唯一值 / 执行语义
218	paragraph	175	Normal		
219	paragraph	176	Heading 1		13 匹配、BOT、新手与断线
220	table	44	7x2	12.5 黑山老妖 || 12.6 空投与宝箱 || 13 匹配、BOT、新手与断线	系统 | 定案
221	paragraph	177	Normal		
222	paragraph	178	Heading 2		13.1 匹配工程字段
223	table	45	81x2	12.6 空投与宝箱 || 13 匹配、BOT、新手与断线 || 13.1 匹配工程字段	工程字段 | 唯一值 / 执行语义
224	paragraph	179	Normal		
225	paragraph	180	Heading 2		13.2 BOT工程字段
226	table	46	69x2	13 匹配、BOT、新手与断线 || 13.1 匹配工程字段 || 13.2 BOT工程字段	工程字段 | 唯一值 / 执行语义
227	paragraph	181	Normal		
228	paragraph	182	Heading 2		13.3 断线重连状态机
