equipment_id	runtime_payload_json
B5	"{""equipment_id"":{""type"":""ENUM"",""value"":""B5""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":150,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""REGEN""},""out_of_any_combat_s"":{""type"":""INT64"",""value"":5,""unit"":""s""},""hp_per_s"":{""type"":""INT64"",""value"":8,""unit"":""hp/s""},""tick_s"":{""type"":""INT64"",""value"":1,""unit"":""s""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""aaa33c84b2438f8c19c5868826fcf27595017aa404cbf6e941c4921ad07484eb""}}"
B6	"{""equipment_id"":{""type"":""ENUM"",""value"":""B6""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":12,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""CRIT_DAMAGE_BONUS""},""add_percentage_points"":{""type"":""INT64"",""value"":30,""unit"":""scalar""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""89efd894c4141a90fe556fd2e2bcb32d0d7d01473480b1c7947fcc04985bb432""}}"
B7	"{""equipment_id"":{""type"":""ENUM"",""value"":""B7""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":200,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""CONDITIONAL_BONUS_DAMAGE_REDUCTION""},""bonus_sources"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""AMBUSH_B29"",""BACKSTAB_B26""]},""bonus_portion_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":5000,""human"":""0.5"",""unit"":""ratio""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""b4c61080ca8013e8b95f875e06216d080f14ade80eab0d171286b4725fe9b102""}}"
B8	"{""equipment_id"":{""type"":""ENUM"",""value"":""B8""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":120,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""ON_MONSTER_KILL_GOLD_CREATE""},""amount"":{""type"":""INT64"",""value"":30,""unit"":""scalar""},""eligible"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""CORE_BOSS"",""DRAGON"",""FLYING_MONSTER"",""LEADER"",""ORDINARY_MONSTER"",""PIG""]},""summon_kill"":{""type"":""BOOL"",""value"":false}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""257b622230c0dd15eab7d31c642702af0c9c791e208c8a5cb60819f9250d9d0b""}}"
B9	"{""equipment_id"":{""type"":""ENUM"",""value"":""B9""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":10,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""DIRECT_VISION_RADIUS_MULTIPLIER""},""multiplier"":{""type"":""Q4"",""value_scaled_1e4"":12000,""human"":""1.2"",""unit"":""scalar""},""does_not_ignore_walls_or_stealth"":{""type"":""BOOL"",""value"":true}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""314cc2607adcfdbd5cca8195557fa69b2013eb0a7bdd3cabc11f96c8293e43a4""}}"
B10	"{""equipment_id"":{""type"":""ENUM"",""value"":""B10""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":12,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""SUMMON_ATTACK_MULTIPLIER""},""multiplier"":{""type"":""Q4"",""value_scaled_1e4"":13000,""human"":""1.3"",""unit"":""scalar""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""15db782b63869359f4993c3d8c1399a73929cf7863867d40bb6d5ee5973ea9cd""}}"
B11	"{""equipment_id"":{""type"":""ENUM"",""value"":""B11""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":200,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""STORM_DAMAGE_REDUCTION""},""remaining_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":7000,""human"":""0.7"",""unit"":""ratio""},""applies"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""APOCALYPSE_STORM"",""NORMAL_STORM""]}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""916de6515f9570376b8f5d4630b1ddb9df6d361134ab2821ff440fa3cb85c0e3""}}"
B12	"{""equipment_id"":{""type"":""ENUM"",""value"":""B12""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MOVE_SPEED_FLAT""},""amount"":{""type"":""INT64"",""value"":26,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""SHOE_ONLY""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""7fd284a8206dbc2268d45dbb6af22e4f99e688a5960345fc0ee8de2898c79f81""}}"
B13	"{""equipment_id"":{""type"":""ENUM"",""value"":""B13""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MOVE_SPEED_FLAT""},""amount"":{""type"":""INT64"",""value"":20,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""SLOW_MAGNITUDE_MULTIPLIER""},""multiplier"":{""type"":""Q4"",""value_scaled_1e4"":5000,""human"":""0.5"",""unit"":""scalar""},""is_shoe"":{""type"":""BOOL"",""value"":true}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""f3a580715d5eea975a04610e2be7ac7a0b17ff276740e92e939987342952d5f8""}}"
B14	"{""equipment_id"":{""type"":""ENUM"",""value"":""B14""},""quality"":{""type"":""ENUM"",""value"":""BLUE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MOVE_SPEED_FLAT""},""amount"":{""type"":""INT64"",""value"":20,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""OFFENSIVE_STEALTH_BREAK_MOVE_SPEED""},""is_shoe"":{""type"":""BOOL"",""value"":true},""eligible_transition"":{""type"":""ENUM"",""value"":""STEALTH_TO_VISIBLE""},""eligible_causes"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""OWNER_BASIC_RELEASE_AGAINST_HOSTILE"",""OWNER_HOSTILE_ACTIVE_CAST_COMMIT""]},""excluded_causes"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""ACTUAL_DAMAGE_TAKEN"",""REVEALED_BY_ENEMY"",""STEALTH_TIMEOUT"",""VOLUNTARY_CANCEL""]},""final_move_speed_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":13000,""human"":""1.3"",""unit"":""ratio""},""duration_s"":{""type"":""INT64"",""value"":2,""unit"":""s""},""internal_cooldown_s"":{""type"":""INT64"",""value"":8,""unit"":""s""},""once_per_stealth_episode"":{""type"":""BOOL"",""value"":true},""stacking"":{""type"":""ENUM"",""value"":""REFRESH_DURATION_NO_MAGNITUDE_STACK""},""eligible_hidden_sources"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""ACTIVE_STEALTH"",""EQUIPMENT_STEALTH"",""FUSHI_HIDDEN""]},""excluded_hidden_sources"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""FOG_OF_WAR_ONLY"",""SMOKE_OCCLUSION_ONLY""]},""hostile_active_definition"":{""type"":""ENUM"",""value"":""ACTIVE_COMMIT_THAT_TARGETS_HOSTILE_OR_CREATES_PLAYER_OWNED_DAMAGE_CONTROL_TRAP_OR_HOSTILE_SUMMON""},""clear_speed_buff_on"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""ITEM_INSTANCE_DESTROYED"",""OWNER_TRUE_DEATH"",""UNEQUIP_B14""]},""internal_cooldown_on_unequip_or_true_death"":{""type"":""ENUM"",""value"":""CLEAR_WITH_ITEM_EFFECT_STATE""}},""buy_gold"":{""type"":""INT64"",""value"":2000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":800,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""943760e707f184acece7498e70149dfd66a730477d7ba3f9a011f88561edaee8""}}"
P1	"{""equipment_id"":{""type"":""ENUM"",""value"":""P1""},""quality"":{""type"":""ENUM"",""value"":""PURPLE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":35,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""CONDITIONAL_DAMAGE_MULTIPLIER""},""condition"":{""type"":""ENUM"",""value"":""TARGET_CURRENT_HP_PERCENT_LT_30""},""multiplier"":{""type"":""Q4"",""value_scaled_1e4"":12500,""human"":""1.25"",""unit"":""scalar""}},""buy_gold"":{""type"":""INT64"",""value"":6000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":2400,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""78b9d836c8a6108deb7ef79426cb1a2c0dc5d66e7dc1ce84aeb16bdb780a9096""}}"
P2	"{""equipment_id"":{""type"":""ENUM"",""value"":""P2""},""quality"":{""type"":""ENUM"",""value"":""PURPLE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":28,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""BASIC_ON_HIT_DOT""},""damage_per_s"":{""type"":""INT64"",""value"":20,""unit"":""hp/s""},""duration_s"":{""type"":""INT64"",""value"":2,""unit"":""s""},""tick_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""refresh_not_stack"":{""type"":""BOOL"",""value"":true},""damage_form"":{""type"":""ENUM"",""value"":""DOT""},""inherits_element"":{""type"":""BOOL"",""value"":true}},""buy_gold"":{""type"":""INT64"",""value"":6000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":2400,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""562d5a71ae487aba7e2fae3a9f7fbdaf77de6ce5e4787ca348d6b7e2f5fbfa5b""}}"
P3	"{""equipment_id"":{""type"":""ENUM"",""value"":""P3""},""quality"":{""type"":""ENUM"",""value"":""PURPLE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""ATTACK_FLAT""},""amount"":{""type"":""INT64"",""value"":18,""unit"":""scalar""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""OWNER_HARD_CONTROL_DURATION_ADD""},""seconds"":{""type"":""Q4"",""value_scaled_1e4"":5000,""human"":""0.5"",""unit"":""scalar""},""does_not_apply_to_soft_control"":{""type"":""BOOL"",""value"":true}},""buy_gold"":{""type"":""INT64"",""value"":6000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":2400,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""3e75b56b335632a0b4d4b69bb922f52ca6ae4d2d39fdc599d71a6f17b65a763a""}}"
P4	"{""equipment_id"":{""type"":""ENUM"",""value"":""P4""},""quality"":{""type"":""ENUM"",""value"":""PURPLE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":400,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""ON_ENEMY_PLAYER_TRUE_DEATH_HEAL""},""max_hp_percent"":{""type"":""INT64"",""value"":30,""unit"":""pct""},""overheal_discarded"":{""type"":""BOOL"",""value"":true}},""buy_gold"":{""type"":""INT64"",""value"":6000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":2400,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""abc25423c2fa0b9b9c6fa9840900a8d03e870f1f28eee33e00b14af0ccf88376""}}"
P5	"{""equipment_id"":{""type"":""ENUM"",""value"":""P5""},""quality"":{""type"":""ENUM"",""value"":""PURPLE""},""stats"":{""type"":""ARRAY"",""element"":""StatGrant"",""ordered"":true,""value"":[{""stat"":{""type"":""ENUM"",""value"":""MAX_HP_FLAT""},""amount"":{""type"":""INT64"",""value"":500,""unit"":""hp""}}]},""effect"":{""type"":{""type"":""ENUM"",""value"":""REGEN""},""out_of_combat_required"":{""type"":""BOOL"",""value"":false},""hp_per_s"":{""type"":""INT64"",""value"":8,""unit"":""hp/s""},""tick_s"":{""type"":""INT64"",""value"":1,""unit"":""s""}},""buy_gold"":{""type"":""INT64"",""value"":6000,""unit"":""gold""},""sell_gold"":{""type"":""INT64"",""value"":2400,""unit"":""gold""},""in_shop"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""435729da1b284665bc75d28d517a83f8ad5436c9e5ff1e26eb24665a0b5b77fd""}}"
